,CreatedDate,Title
0,2014-06-27T13:15:56.000+0000,I.t. Specialist
1,2014-09-16T20:18:39.000+0000,"IT Management: CIO, CTO"
2,2015-02-02T13:58:53.000+0000,Regional Director
3,2015-03-05T17:01:11.000+0000,Director Business Operations
4,2015-03-31T16:19:02.000+0000,Architect
5,2015-05-29T16:52:06.000+0000,Senior Health Systems Specialist
6,2015-07-14T01:47:37.000+0000,"Deputy CIO, Service  Delivery and Engineering"
7,2015-09-08T16:18:24.000+0000,"Director, IT Infrastructure"
8,2015-09-22T14:48:17.000+0000,Federal Relationship Manager
9,2015-11-24T00:50:12.000+0000,Other
10,2015-11-24T22:52:23.000+0000,Contract Systems Programmer
11,2015-11-24T22:52:23.000+0000,IT Professional
12,2015-11-24T23:01:57.000+0000,Manager
13,2015-11-25T04:29:30.000+0000,Unspecified
14,2015-11-25T20:22:50.000+0000,ESS Remedy Engineer
15,2015-11-25T20:26:12.000+0000,IT - General
16,2015-11-25T22:07:52.000+0000,Technical/System Administration
17,2015-11-27T00:36:50.000+0000,**Main Contact**
18,2015-11-27T01:29:15.000+0000,Contract Systems Programmer
19,2015-12-03T22:39:09.000+0000,Mainframe lead
20,2015-12-03T22:39:56.000+0000,IT Professional
21,2015-12-08T02:35:53.000+0000,Principal Consultant
22,2015-12-08T02:35:53.000+0000,Other
23,2014-07-11T17:35:19.000+0000,IT Professional
24,2016-01-15T22:15:58.000+0000,Director Sales Engineering
25,2016-01-18T23:43:26.000+0000,Lead Architect
26,2016-01-19T19:43:41.000+0000,MAIN CONTACT as of 11/9/11
27,2016-04-06T18:50:56.000+0000,"Director, IT Strategy"
28,2016-05-04T11:08:11.000+0000,SMS IT Lab Director
29,2016-07-12T19:25:42.000+0000,"Director, Executive IT Management"
30,2016-07-27T19:47:30.000+0000,Program Analyst
31,2016-07-29T21:56:05.000+0000,Enterprise Architect
32,2016-08-01T20:40:55.000+0000,Senior Account Executive
33,2016-08-02T01:50:20.000+0000,VA program
34,2016-08-03T02:35:54.000+0000,Field Implementation Services Manager
35,2016-08-18T21:11:57.000+0000,"Director, ESE Telecom"
36,2017-02-02T17:02:05.000+0000,IT - General
37,2017-03-06T21:37:48.000+0000,Health Product Support Director
38,2017-03-16T17:12:37.000+0000,Special Assistant to Chief Health Techno
39,2017-04-03T16:03:26.000+0000,Acting COO
40,2017-04-05T17:43:58.000+0000,Social science Technician
41,2017-04-05T17:44:51.000+0000,Analyst
42,2017-05-01T21:39:55.000+0000,Chief Mainframe
43,2017-05-11T13:49:04.000+0000,It Specialist
44,2017-11-30T18:54:58.000+0000,"Executive Director, Budget and Finance"
45,2018-03-16T12:48:40.000+0000,Medical Support Assistant
46,2018-03-23T14:11:47.000+0000,"Executive Director, Information Technology Systems Modernization, OIT"
47,2018-06-29T16:52:58.000+0000,Med Cntr CIO
48,2018-10-19T15:49:21.000+0000,IT Specialist - MF
49,2018-12-05T14:46:12.000+0000,"Director, Enterprise Integration"
50,2018-12-05T15:27:56.000+0000,Contracting officer
51,2018-12-05T21:13:15.000+0000,"Office of Procurement, Acquisition, and Logistics (OPAL)"
52,2019-06-28T20:36:27.000+0000,Chief Technology Officer
53,2019-08-02T18:58:01.000+0000,Chief of Modernization
54,2020-01-29T13:56:53.000+0000,Contractor
55,2020-02-28T17:08:04.000+0000,vendor management
56,2020-02-29T00:26:40.000+0000,Implementation Manager
57,2020-03-02T16:46:14.000+0000,Veteran/Patient
58,2020-03-04T14:14:04.000+0000,General
59,2020-04-13T17:57:04.000+0000,It Security
60,2009-04-01T07:16:56.000+0000,Computer Specialist
61,2009-04-01T07:17:02.000+0000,DBA Oracle
62,2009-04-01T07:36:22.000+0000,ESS Remedy Engineer
63,2009-05-01T04:58:14.000+0000,CSA
64,2009-05-01T04:58:14.000+0000,MX Exchange Specialist
65,2009-05-01T04:58:14.000+0000,Gen. Engineer
66,2009-05-01T04:58:14.000+0000,Associate Director
67,2009-05-01T04:58:14.000+0000,Systems Administrator
68,2009-05-01T04:59:17.000+0000,Systems Analyst
69,2009-05-01T04:59:17.000+0000,"Director, Austin Automated Center"
70,2009-05-01T05:00:59.000+0000,IT Specialist
71,2009-05-01T05:02:07.000+0000,MF Storage
72,2009-05-01T05:03:42.000+0000,OCIS VA SOC IT Specialist
73,2009-05-01T05:18:36.000+0000,VA Security Architect
74,2009-05-01T05:18:36.000+0000,SRA Employee
75,2009-05-01T05:18:36.000+0000,Engineer
76,2009-05-01T05:18:36.000+0000,Contracting Officer
77,2009-05-01T05:18:36.000+0000,Computer Systems Analyst DBA
78,2009-05-01T05:18:36.000+0000,Program Assistant
79,2009-05-01T05:18:36.000+0000,Structural Engineer
80,2009-05-01T05:18:36.000+0000,"Acting CIO, VA"
81,2009-05-01T05:18:55.000+0000,"Manager, Application Servers"
82,2009-05-01T05:18:55.000+0000,"Chief. Technology Infrastructure Division,Manager, LAN Support Services"
83,2009-05-01T05:18:55.000+0000,"Chief, Security Services"
84,2009-05-01T05:18:55.000+0000,Divisional Technical Support
85,2009-05-01T05:18:55.000+0000,Unix Consultant
86,2009-05-01T05:18:55.000+0000,Chief Technology Infrastructure Division
87,2009-05-01T05:18:55.000+0000,Chief Capacity Manager
88,2009-05-01T05:18:55.000+0000,DBA
89,2009-05-01T05:18:55.000+0000,"Chief,  Computer Center"
90,2009-05-01T05:18:55.000+0000,Infrastructure Program Manager
91,2009-05-01T05:18:58.000+0000,Contracting Officer
92,2009-05-01T05:20:22.000+0000,IT
93,2009-05-01T05:20:22.000+0000,DBA
94,2009-05-01T05:21:06.000+0000,System Programmer
95,2009-05-01T05:21:47.000+0000,Systems Analyst
96,2009-05-01T05:21:47.000+0000,VA SOC Security Architect
97,2009-05-01T05:22:51.000+0000,contracts
98,2009-05-01T05:23:28.000+0000,I.t. Specialist
99,2009-05-01T05:24:14.000+0000,Senior Network Engineer
100,2009-05-01T05:26:49.000+0000,Information Technology Specialist
101,2009-05-01T05:26:49.000+0000,CONTRACTING OFFICER
102,2009-05-01T05:27:40.000+0000,IT Specialist
103,2009-05-01T05:28:38.000+0000,Mainview POC
104,2009-05-01T05:29:39.000+0000,DB2 DBA
105,2009-05-01T05:30:22.000+0000,MF Storage
106,2009-05-01T05:04:31.000+0000,Computer Systems Programmer
107,2009-05-01T05:31:42.000+0000,Unspecified
108,2009-05-01T05:33:03.000+0000,PM of National Data Center Program
109,2009-05-01T05:33:03.000+0000,NSOC PM
110,2009-05-01T05:33:25.000+0000,Enm/Operations
111,2009-05-01T05:33:25.000+0000,Systems Manager
112,2009-05-01T05:33:25.000+0000,"Manager, HR Links"
113,2009-05-01T05:33:37.000+0000,ADAS for Cyber Security
114,2009-05-01T05:33:37.000+0000,"Computer Systems Analyst, Payroll/Personnel System Service"
115,2009-05-01T05:33:37.000+0000,Application Development
116,2009-05-01T05:33:48.000+0000,"Executive Director For Business Development, Dc For The Aac"
117,2009-05-01T05:33:51.000+0000,Distributed
118,2009-05-01T05:34:04.000+0000,CONTRACTING
119,2009-05-01T05:34:04.000+0000,PROJECT MANAGER
120,2009-05-01T05:34:04.000+0000,Application Development
121,2009-05-01T05:34:16.000+0000,SubContractor Administrator
122,2009-05-01T05:34:19.000+0000,Special Assistant To The Secretary For IT
123,2009-05-01T05:34:31.000+0000,Contracting Officer
124,2009-05-01T05:34:31.000+0000,MF Storage
125,2009-05-01T05:34:42.000+0000,Computer Specialist
126,2009-05-01T05:34:45.000+0000,Cio/pcs/telce
127,2009-05-01T05:34:45.000+0000,"Director, Telecommunications Staff, VBA"
128,2009-05-01T05:34:45.000+0000,Manager IT Dept
129,2009-05-01T05:35:12.000+0000,Contracting
130,2009-05-01T05:35:12.000+0000,"Contracting Officer - Team Leader, Professional/Clinical Team, Cca Visn 21"
131,2009-05-01T05:35:12.000+0000,PURCHASING
132,2009-05-01T05:35:37.000+0000,Acting Director Information Technology Oversight and Review
133,2009-05-01T05:35:37.000+0000,"Director, Aac"
134,2009-05-01T05:35:49.000+0000,Administrative Officer
135,2009-05-01T05:35:49.000+0000,Network Sdministrator
136,2009-05-01T05:36:20.000+0000,Operations/Na
137,2009-05-01T05:36:20.000+0000,Fed Data Aaces Program Manager
138,2009-05-01T05:36:35.000+0000,Systems Programmer
139,2009-05-01T05:36:35.000+0000,Associate Deputy Assistanf Secretary For Office of Telecommunications
140,2009-05-01T05:36:51.000+0000,Database Manager
141,2009-05-01T05:36:51.000+0000,Consultant
142,2009-05-01T05:36:51.000+0000,Computer Specialist
143,2009-05-01T05:36:51.000+0000,"Cio, Vba"
144,2009-05-01T05:37:17.000+0000,IDMS DB Manager
145,2009-05-01T05:37:17.000+0000,"Director, Business Development"
146,2009-05-01T05:37:31.000+0000,Network Administration
147,2009-05-01T05:37:31.000+0000,Computer Specialist
148,2009-05-01T05:37:43.000+0000,DBA
149,2009-05-01T05:38:10.000+0000,IT Sys Admin Manager
150,2009-05-01T05:38:23.000+0000,CIO
151,2009-05-01T05:38:34.000+0000,IT Manager
152,2009-05-01T05:39:14.000+0000,IT Specialist
153,2009-05-01T05:41:20.000+0000,General Dynamics
154,2009-05-01T05:41:51.000+0000,Desktop Ops Team Leader
155,2009-05-01T05:42:17.000+0000,Information Technology Specialist
156,2009-05-01T05:42:48.000+0000,Data Center Manager
157,2009-05-01T05:43:17.000+0000,"Director, Enterprise Security Solutions Service"
158,2009-05-01T05:43:17.000+0000,Systems Progammer
159,2009-05-01T05:43:43.000+0000,"Chief Information Officer, Augusta Facility"
160,2009-05-01T05:43:43.000+0000,Business Manager
161,2009-05-01T05:44:45.000+0000,IT Tech
162,2009-05-01T05:45:00.000+0000,Web Strategist
163,2009-05-01T05:45:12.000+0000,IT SPECIALIST
164,2009-05-01T05:45:12.000+0000,Remedy Developer
165,2009-05-01T05:45:12.000+0000,I.T. Specialist
166,2009-05-01T05:46:12.000+0000,IT
167,2009-05-01T05:46:27.000+0000,Director Infrastructure
168,2009-05-01T05:46:27.000+0000,IT Specialist
169,2009-05-01T05:46:39.000+0000,Systems Analyst
170,2009-05-01T05:46:53.000+0000,Vp Of Infrastructure
171,2009-05-01T05:46:53.000+0000,Chief Tech Infrastructure Manager
172,2009-05-01T05:46:53.000+0000,Datacenter Manager
173,2009-05-01T05:47:05.000+0000,Contract Specialist
174,2009-05-01T05:47:05.000+0000,IT Specialist
175,2009-05-01T05:47:05.000+0000,Network Manager
176,2009-05-01T05:47:20.000+0000,Senior Network Engineer
177,2009-05-01T05:47:34.000+0000,Other
178,2009-05-01T05:47:34.000+0000,Network Administrator
179,2009-05-01T05:47:47.000+0000,Senior Systems Engineer
180,2009-05-01T05:47:53.000+0000,It Specialist
181,2009-05-01T05:48:42.000+0000,COTAR IT Assets and Renewals
182,2009-05-01T05:48:45.000+0000,IT-Other
183,2009-05-01T05:48:56.000+0000,Principal Consultant
184,2009-05-01T05:48:56.000+0000,Unspecified
185,2009-05-01T05:50:43.000+0000,Sr. Technical Consultant
186,2009-05-14T13:10:17.000+0000,IT Manager
187,2009-05-01T05:46:27.000+0000,Systems Admin
188,2009-08-17T01:34:56.000+0000,Threewire Partner
189,2009-09-18T15:31:00.000+0000,Four Points Rep
190,2009-11-04T16:31:02.000+0000,Sr Consultant/Logic Information Systems
191,2009-11-04T20:33:29.000+0000,CIO
192,2009-11-18T15:17:08.000+0000,Field Security Operations
193,2009-12-09T15:10:02.000+0000,EADS
194,2009-12-16T13:23:49.000+0000,Contractor for VA OAL
195,2010-01-20T14:48:22.000+0000,Apptis Rep
196,2010-01-31T19:04:17.000+0000,Teleheath Technical Service Desk Lead
197,2010-02-16T15:21:57.000+0000,Head of Telehealth Technical Service Desk
198,2010-02-16T15:31:30.000+0000,Telehealth Consultant
199,2010-02-16T15:27:55.000+0000,Telehealth Clinical Manager
200,2010-02-16T15:29:39.000+0000,Teleheath Service Desk Admin
201,2010-05-04T04:13:16.000+0000,Enterprise Telecommunications Architecture
202,2010-05-11T14:19:26.000+0000,IT Specialist
203,2010-05-25T16:39:48.000+0000,"IT Specialist, Systems Architect (AITC CDCO)"
204,2010-05-26T17:29:12.000+0000,CHSS Director - VA Agent Orange Deal
205,2010-06-11T20:01:30.000+0000,Unspecified
206,2010-08-23T19:17:58.000+0000,IT Manager
207,2010-10-22T02:22:43.000+0000,Division Chief Monitoring
208,2010-10-22T02:38:56.000+0000,Director Server Management
209,2010-10-22T03:56:49.000+0000,IT Supervisory Specialist
210,2010-11-03T15:15:22.000+0000,IT Specialist- Region 2
211,2010-11-04T17:55:29.000+0000,IT
212,2010-12-07T21:39:45.000+0000,Business Development (WWT)
213,2010-12-07T21:39:16.000+0000,"Account Manager, VA Reg I (WWT)"
214,2010-12-07T21:40:04.000+0000,(WWT)
215,2010-12-09T14:23:15.000+0000,Director
216,2011-02-14T22:15:09.000+0000,VHA Impact Analysis Lead
217,2011-02-14T22:13:08.000+0000,NSOC PM
218,2011-05-03T21:08:27.000+0000,Small Business Specialist
219,2011-06-06T22:49:42.000+0000,INCONTROL Product Line Consultant
220,2011-06-14T17:53:55.000+0000,Contract Specialist - TAC
221,2011-06-20T22:01:39.000+0000,"IT Specialist, Austin Automation Center"
222,2011-06-20T22:08:40.000+0000,"Acting Executive Director, Corporate Data Center Operations"
223,2011-06-21T19:13:48.000+0000,"Chief, IT & Tele. Service, Center for Acquisition"
224,2011-08-24T19:21:15.000+0000,Development of Service Managment CIO
225,2011-09-07T20:07:22.000+0000,Deputy Assistant Secretary / Dep CIO
226,2011-09-07T21:02:02.000+0000,Associate Director
227,2011-09-07T23:30:10.000+0000,Director
228,2011-09-08T00:45:55.000+0000,"Executive Director, Office of Information and Technology Operations"
229,2011-09-08T01:56:56.000+0000,Director - Business Intelligence
230,2011-09-14T14:23:46.000+0000,Director of Incident Resolution
231,2011-09-15T18:42:57.000+0000,CDS President
232,2011-09-29T20:16:38.000+0000,PM for PMAS
233,2011-09-30T18:34:12.000+0000,Project Manager
234,2011-09-30T17:40:11.000+0000,Program Manager
235,2011-09-30T18:49:10.000+0000,Business Development Director
236,2011-09-30T19:33:57.000+0000,RightStar
237,2011-09-30T19:36:36.000+0000,Consultant
238,2011-09-30T19:45:34.000+0000,Chief Production Control Officer
239,2011-10-03T15:28:44.000+0000,Principal Consultant
240,2011-10-03T15:34:29.000+0000,Vp Of Infrastructure
241,2011-10-03T15:50:38.000+0000,"Director, Support Services"
242,2011-10-19T21:56:28.000+0000,"Director, Education and Training Division"
243,2011-11-04T11:27:24.000+0000,Harris EMF Lead
244,2011-11-11T19:49:39.000+0000,NSD CM Manager
245,2011-11-11T19:55:37.000+0000,Problem Management
246,2011-11-17T21:51:11.000+0000,"CIO, VISN 7"
247,2011-12-07T15:31:55.000+0000,SAIC Health Services
248,2011-12-07T15:33:56.000+0000,SAIC Health Services
249,2011-12-08T22:06:19.000+0000,"Gartner, Health Solutions"
250,2011-12-08T22:03:51.000+0000,"SAIC Health Solutions, Business Development Manager"
251,2011-12-20T15:32:36.000+0000,IT
252,2012-01-05T15:59:48.000+0000,"Director, OI&T"
253,2012-01-06T15:49:39.000+0000,"Region 1 Division Chief, Facilities Management"
254,2012-01-06T16:07:30.000+0000,"Deputy Assistant Secretary , Information Security"
255,2012-01-06T16:15:05.000+0000,"VP, Federal Healthcare - CCSi"
256,2012-01-12T16:46:03.000+0000,"Director, Product Assessment Competency Division"
257,2012-01-12T16:53:59.000+0000,NSOC
258,2012-01-18T20:21:41.000+0000,President - Intratek
259,2012-01-27T12:56:36.000+0000,"Deputy Director, Operations"
260,2012-01-27T17:03:00.000+0000,Knowledge Mngt Specialist - NSOC
261,2012-01-27T17:09:37.000+0000,Senior Remedy Engineer - NSOC
262,2012-02-15T16:36:35.000+0000,Deputy Director
263,2012-02-15T16:53:59.000+0000,"Executive Director, IT Acquisition Strategy & Business Relationships"
264,2012-02-15T17:23:05.000+0000,"Director IT, NSOC"
265,2012-02-15T17:25:03.000+0000,"PM, Network Security Office"
266,2012-02-15T18:30:19.000+0000,"Matrix42, Reg. Sales Director"
267,2012-02-16T16:47:31.000+0000,Industry Liaison - FAA CIO Office
268,2012-02-16T16:53:09.000+0000,"Management & Program Analyst, ESE"
269,2012-03-12T17:50:01.000+0000,Head of Mobility Strategy
270,2012-03-12T17:53:45.000+0000,Acting COO
271,2012-03-12T17:56:09.000+0000,"Region 1 Division Chief, Facilities Management"
272,2012-03-12T18:30:22.000+0000,"Assoc. Chief of Staff, Informatics"
273,2012-03-12T18:20:23.000+0000,TEK Systems - Director of National Accounts
274,2012-03-12T18:23:09.000+0000,Unisys - Partner & VP Health Sciences
275,2012-03-12T18:27:43.000+0000,ACET - Dpty Director Medical Systems
276,2012-03-15T18:41:32.000+0000,System Adminstrator
277,2012-05-03T19:25:30.000+0000,Systems Made Simple - Account Manager
278,2012-05-03T19:38:49.000+0000,Triple-i - Program Lead
279,2012-05-03T19:23:03.000+0000,Vp of Sales & Marketing
280,2012-05-03T19:27:59.000+0000,Merlin International - Client Executive
281,2012-05-03T19:33:05.000+0000,CTO-Enterprise Data Center Operations
282,2012-05-03T19:41:06.000+0000,Agilex - President Health Sector
283,2012-05-14T18:53:18.000+0000,IT Professional
284,2012-05-31T12:48:29.000+0000,"Chief Architect, Weblogic"
285,2012-05-31T12:52:00.000+0000,"IntePros, VP Business Development"
286,2012-05-31T12:57:05.000+0000,Unisys - Federal Health Systems
287,2012-05-31T13:05:27.000+0000,"Adams Communications, CEO"
288,2012-06-21T14:08:27.000+0000,"Director, Operations Management"
289,2012-06-25T15:12:15.000+0000,Project Managner - SMS
290,2012-06-25T15:15:06.000+0000,"Chief, Project and Release Mgmnt Division, 200/32c"
291,2012-07-13T15:39:21.000+0000,"Director IT, NSOC"
292,2012-07-20T14:17:32.000+0000,IT Contracting
293,2012-07-20T14:22:24.000+0000,Software Engineer
294,2020-07-21T20:20:58.000+0000,IT Specialist - MF
295,2020-07-21T20:42:03.000+0000,"Service Line Manager, Mainframe Management"
296,2020-07-21T20:50:36.000+0000,Supervisor IT Specialist - MF
297,2020-09-02T15:20:02.000+0000,Program Manager/Site Manager – Leidos/SMS
298,2020-09-14T16:30:39.000+0000,Contracting Officer Representative
299,2012-07-23T21:45:58.000+0000,"Branch Chief, Scheduling"
300,2012-07-23T21:53:37.000+0000,Automation Lead
301,2012-07-23T22:11:38.000+0000,Scheduling
302,2012-09-14T19:23:14.000+0000,"Deputy Director, Technical Infrastructure"
303,2012-09-20T15:00:27.000+0000,CTO-Enterprise Data Center Operations
304,2012-09-20T15:12:24.000+0000,CTO
305,2012-09-20T15:25:03.000+0000,"Chief, Project and Release Mgmnt Division, 200/32c Chief of Applications"
306,2012-09-28T20:44:24.000+0000,"CIO, VA Financial Center"
307,2012-09-28T20:49:14.000+0000,VA Network Operations Center - Gateway Team
308,2012-10-02T20:36:45.000+0000,IT Project Manager
309,2012-10-17T15:51:02.000+0000,"Director, Enterprise Application Support"
310,2012-10-17T15:52:42.000+0000,Executive Director
311,2012-12-31T17:11:41.000+0000,Contracting Officer
312,2013-07-18T11:30:11.000+0000,Acting Director
313,2013-07-18T12:40:06.000+0000,Director National Service Desk
314,2013-07-18T13:44:09.000+0000,"Director Platforms, ESE"
315,2005-07-29T22:51:44.000+0000,Contracting Officer
316,2009-12-11T00:46:46.000+0000,Deputy Project Manager
317,2010-06-14T20:37:53.000+0000,Director
318,2010-07-12T17:53:32.000+0000,Marketing and Communication
319,2010-08-20T18:16:08.000+0000,Program Analyst
320,2010-09-02T19:00:28.000+0000,analyst
321,2006-09-12T17:36:36.000+0000,IT Specialist
322,2007-01-16T20:08:48.000+0000,Program Mgr.
323,2006-11-12T21:49:48.000+0000,CTO
324,2011-10-04T21:08:31.000+0000,FP System Admin
325,2011-10-12T19:20:58.000+0000,Team Lead
326,2011-11-09T19:23:50.000+0000,MAIN CONTACT as of 11/9/11
327,2012-03-16T14:47:04.000+0000,"IT Management: CIO, CTO"
328,2009-03-18T20:24:30.000+0000,"Senior Analyst, Information Security"
329,2012-12-28T16:39:34.000+0000,Contracting Officer
330,2008-06-19T19:07:54.000+0000,Track-It Admin/helpdesk
331,2006-08-22T18:45:25.000+0000,VISN 15 FCIO Marion
332,2013-08-02T22:44:48.000+0000,CTO AITC
333,2013-09-23T19:38:50.000+0000,Program Mgr
